day,p05,p25,p50,p75,p95,mean
149,39.142180279580295,61.57442768586234,85.84571797950744,119.20402534426398,189.2134453076009,96.41698709561423
150,39.060325053594454,61.48262239978788,85.87092026206284,119.22775424360003,190.33148008233292,96.45361870006069
151,38.89871498224508,61.47013166676282,85.81375967988049,119.48310835949113,190.13964660129872,96.4750265161729
152,38.69062328417254,61.21337151370836,85.73061576218976,119.47349867851462,191.60783085463487,96.50298253569426
153,38.555373361114135,61.06800412855774,85.7048281106996,119.39696608360524,191.9598912925393,96.49125261047386
154,38.40198980072483,61.12679942345435,85.3450875559287,119.06153562092362,191.38703805282213,96.49643363250263
155,38.30477130608691,61.08945476283109,85.43632500635916,119.37261648629197,191.56572464451244,96.45621977117683
156,38.18063175393001,60.85353654627722,85.3698506898453,119.37261936308033,192.15064846341113,96.4779747509093
157,38.13654466206599,60.641422977380536,85.30621460221676,119.26686125942065,193.91662893784465,96.48972540955435
158,37.83011973208568,60.51100727949086,85.12810899485353,118.67090473439328,194.04348402574882,96.4655459034766
159,37.69675836562641,60.38999376091465,85.28043012904101,119.28143206981593,194.39645337432972,96.44466104635352
160,37.59460823433401,60.290783428071926,85.23771613450921,119.07930236360465,195.60608826697572,96.44352119271224
161,37.614348124852235,60.30405222525513,85.22695906314584,119.1635797245547,195.62749417490505,96.44225441069933
162,37.43638558965604,60.05292294617128,85.01193129258158,119.38804580029989,195.74540755899824,96.47611910546478
163,37.28228456419592,59.984722207741534,84.85571295153079,119.6397718637954,196.53466588373962,96.50506364428097
164,37.24775772221564,59.867418708427095,84.94528940396638,119.5038103888328,197.06618787330927,96.50159773213696
165,37.14242671279028,59.651888163177375,84.9711300722287,119.8400722634841,196.95833921877897,96.48514381785486
166,37.12782593783811,59.61242734557211,84.72519427700928,119.71831597484325,197.47391431293676,96.49358551257586
167,37.024206480957766,59.63882664880403,84.74617191427974,119.79583922198694,196.90948092559444,96.44421417237699
168,36.8223767504536,59.453084919720425,84.7694714028687,120.04489318320753,197.79999604721698,96.4961263761469
169,36.861485716157105,59.26908934656398,84.6052096666713,120.36212392084659,198.16008549419783,96.52538807043076
170,36.700456505873746,59.11266973064373,84.64369462708623,120.13751586846757,198.62787945167372,96.49458738343165
171,36.36146570335737,59.23959128322345,84.64502837034563,119.86653172381895,199.4406905315274,96.5170736516731
172,36.39022549193069,59.14195324492345,84.44334701769256,119.95306437106876,199.223438019628,96.47952177476276
173,36.141864041225055,58.9148450331888,84.5789442395297,120.0437565524962,198.57275745527556,96.47052041469507
174,36.10851919617294,58.88154437034945,84.37468600183298,119.93831452126035,199.10260286940755,96.54498991555711
175,35.919246092647334,58.741319266795806,84.41205530943218,120.31779022215544,199.57739722197113,96.59443672027788
176,35.749489137026686,58.64067010013873,84.25756885211962,120.2726545229958,200.22248209871108,96.63378385562754
177,35.86301622725446,58.611143622751875,84.28796200308935,120.28919100191206,200.7433197157849,96.67342867479275
178,35.48648860214348,58.38385535801096,84.1819684769919,120.11418494363167,201.84531551502508,96.65349409960103
179,35.38738609610342,58.33623575471192,84.08837509591191,120.24413721269323,201.64546463946613,96.70157744105451
180,35.24708085206815,58.31540001028581,84.33601153035892,120.43309860125693,202.1301762444098,96.71951120849383
181,35.081379495626905,58.2493925432451,84.08214563648113,120.43097085541865,202.3701077026588,96.71856883410409
182,34.999874786881335,58.06770095473317,83.99291238956478,120.21404224598325,203.69652264161508,96.74635954522063
