horizon,mean,std,p5,p25,p50,p75,p95,P(S < 70),P(S > 120),P(S > 150)
1M (21d),95.70769651945807,17.366952848484516,69.9704495435287,83.60453201133095,94.32565078368927,106.0018293744446,126.4022470557672,0.0502,0.08565,0.00615
3M (63d),95.80781834239556,30.825124995943117,54.402959416834605,74.16246520626683,91.17310174142744,112.67463607415195,152.80043327998985,0.197,0.1911,0.0569
6M (126d),96.34993948868261,44.94833314768344,42.1128904877391,64.83361468340499,87.18766844823438,117.67434153947092,182.3128867153537,0.3083,0.23675,0.11375
12M (252d),97.13323082118654,67.03790694455458,28.606046100347367,52.251924044600294,79.7204378887167,122.6278188121302,222.59038984818747,0.4168,0.26165,0.15725
